xml_url,inXml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"") + "".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2022.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"") + "".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"") + "".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2023_back.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAppntEnts.xml,/wqxml/adm/31idtcag/bizMng/idtcagAppntEntsReg.xml
